MovementID,MovementDate,ProductID,MovementType,Quantity,LocationID
MOVE000001,2024-11-28,PROD0115,OUT,44,LOC05
MOVE000002,2024-11-17,PROD0019,IN,21,LOC05
MOVE000003,2024-09-26,PROD0001,IN,188,LOC04
MOVE000004,2024-01-30,PROD0002,OUT,35,LOC02
MOVE000005,2025-01-06,PROD0131,OUT,18,LOC03
MOVE000006,2024-02-13,PROD0134,IN,100,LOC01
MOVE000007,2025-03-21,PROD0139,IN,139,LOC03
MOVE000008,2024-12-28,PROD0082,IN,178,LOC04
MOVE000009,2024-05-31,PROD0039,IN,20,LOC04
MOVE000010,2024-02-29,PROD0083,IN,148,LOC04
MOVE000011,2025-05-30,PROD0031,IN,134,LOC04
MOVE000012,2024-12-03,PROD0010,IN,190,LOC03
MOVE000013,2024-04-02,PROD0118,IN,123,LOC05
MOVE000014,2025-02-23,PROD0013,OUT,13,LOC04
MOVE000015,2025-05-05,PROD0072,IN,92,LOC05
MOVE000016,2024-09-15,PROD0043,OUT,35,LOC01
MOVE000017,2024-06-23,PROD0024,IN,194,LOC04
MOVE000018,2025-01-15,PROD0141,IN,187,LOC04
MOVE000019,2024-08-17,PROD0041,IN,187,LOC03
MOVE000020,2025-03-20,PROD0021,IN,122,LOC04
MOVE000021,2025-04-18,PROD0128,OUT,26,LOC03
MOVE000022,2024-01-24,PROD0063,IN,148,LOC03
MOVE000023,2025-03-19,PROD0110,IN,105,LOC05
MOVE000024,2024-09-21,PROD0083,IN,126,LOC02
MOVE000025,2025-03-16,PROD0047,OUT,1,LOC03
MOVE000026,2024-10-26,PROD0078,IN,24,LOC04
MOVE000027,2025-03-24,PROD0115,OUT,49,LOC05
MOVE000028,2024-02-22,PROD0133,IN,74,LOC03
MOVE000029,2024-05-08,PROD0092,IN,78,LOC03
MOVE000030,2025-03-09,PROD0058,IN,120,LOC04
MOVE000031,2024-12-13,PROD0015,IN,123,LOC04
MOVE000032,2025-04-11,PROD0116,OUT,45,LOC01
MOVE000033,2025-06-26,PROD0060,IN,161,LOC04
MOVE000034,2024-04-03,PROD0031,IN,96,LOC02
MOVE000035,2024-03-24,PROD0028,IN,112,LOC05
MOVE000036,2024-04-07,PROD0138,OUT,46,LOC05
MOVE000037,2024-09-16,PROD0043,IN,173,LOC04
MOVE000038,2025-01-03,PROD0078,IN,197,LOC01
MOVE000039,2024-08-10,PROD0012,IN,108,LOC05
MOVE000040,2025-02-28,PROD0121,IN,94,LOC03
MOVE000041,2024-10-08,PROD0104,IN,193,LOC03
MOVE000042,2024-06-07,PROD0141,IN,109,LOC03
MOVE000043,2024-08-21,PROD0007,OUT,20,LOC02
MOVE000044,2025-05-21,PROD0022,IN,89,LOC02
MOVE000045,2025-03-01,PROD0074,IN,163,LOC03
MOVE000046,2024-11-19,PROD0048,IN,76,LOC02
MOVE000047,2025-04-23,PROD0009,IN,188,LOC01
MOVE000048,2025-04-07,PROD0071,IN,70,LOC02
MOVE000049,2024-12-26,PROD0110,OUT,48,LOC01
MOVE000050,2025-05-27,PROD0046,IN,73,LOC01
MOVE000051,2024-03-30,PROD0066,OUT,37,LOC05
MOVE000052,2024-11-26,PROD0011,IN,37,LOC03
MOVE000053,2024-06-11,PROD0101,IN,192,LOC04
MOVE000054,2024-04-21,PROD0022,OUT,33,LOC02
MOVE000055,2024-07-23,PROD0009,IN,134,LOC04
MOVE000056,2024-01-13,PROD0021,IN,161,LOC01
MOVE000057,2025-05-20,PROD0140,IN,103,LOC04
MOVE000058,2024-10-06,PROD0062,IN,144,LOC05
MOVE000059,2025-04-07,PROD0060,IN,30,LOC02
MOVE000060,2024-07-12,PROD0044,OUT,40,LOC05
MOVE000061,2024-02-05,PROD0141,IN,66,LOC01
MOVE000062,2024-05-20,PROD0034,IN,44,LOC01
MOVE000063,2024-07-23,PROD0101,OUT,41,LOC03
MOVE000064,2024-12-06,PROD0110,IN,57,LOC04
MOVE000065,2024-11-12,PROD0109,IN,137,LOC05
MOVE000066,2024-09-01,PROD0059,OUT,38,LOC04
MOVE000067,2025-05-05,PROD0059,IN,180,LOC04
MOVE000068,2024-03-08,PROD0020,OUT,23,LOC03
MOVE000069,2024-11-07,PROD0005,OUT,24,LOC04
MOVE000070,2024-03-14,PROD0032,IN,55,LOC05
MOVE000071,2025-04-19,PROD0037,IN,72,LOC05
MOVE000072,2024-03-03,PROD0024,OUT,46,LOC02
MOVE000073,2024-04-07,PROD0025,OUT,3,LOC02
MOVE000074,2025-02-22,PROD0128,OUT,8,LOC02
MOVE000075,2024-10-22,PROD0004,IN,184,LOC04
MOVE000076,2024-12-07,PROD0136,OUT,8,LOC03
MOVE000077,2024-09-02,PROD0081,IN,189,LOC04
MOVE000078,2025-02-15,PROD0003,OUT,17,LOC03
MOVE000079,2024-05-27,PROD0034,IN,95,LOC01
MOVE000080,2024-06-11,PROD0116,OUT,14,LOC05
MOVE000081,2024-10-16,PROD0076,IN,84,LOC04
MOVE000082,2024-10-08,PROD0023,OUT,33,LOC05
MOVE000083,2024-08-12,PROD0083,IN,75,LOC04
MOVE000084,2024-05-23,PROD0034,OUT,25,LOC01
MOVE000085,2024-10-28,PROD0119,IN,47,LOC04
MOVE000086,2025-03-29,PROD0087,OUT,28,LOC04
MOVE000087,2024-02-04,PROD0065,IN,32,LOC04
MOVE000088,2025-05-13,PROD0008,IN,187,LOC02
MOVE000089,2025-06-22,PROD0087,OUT,13,LOC05
MOVE000090,2024-06-04,PROD0024,OUT,43,LOC01
MOVE000091,2024-01-18,PROD0140,IN,70,LOC02
MOVE000092,2025-05-31,PROD0106,IN,30,LOC01
MOVE000093,2024-06-08,PROD0014,IN,97,LOC04
MOVE000094,2024-09-18,PROD0141,IN,158,LOC05
MOVE000095,2024-11-06,PROD0114,IN,83,LOC03
MOVE000096,2024-06-02,PROD0041,IN,25,LOC02
MOVE000097,2024-08-26,PROD0070,OUT,50,LOC03
MOVE000098,2025-04-12,PROD0032,OUT,35,LOC05
MOVE000099,2024-08-25,PROD0104,OUT,3,LOC01
MOVE000100,2024-12-15,PROD0093,IN,23,LOC04
MOVE000101,2024-12-25,PROD0014,IN,186,LOC05
MOVE000102,2024-12-30,PROD0031,OUT,41,LOC01
