PurchaseID,ProductID,PurchaseDate,QuantityPurchased,CostOfPurchase,VendorInvoiceNumber
PUR0001,P1304,2025-06-02,32,2765.76,INV13330
PUR0002,P1304,2024-09-29,112,35378.56,INV24146
PUR0003,P1304,2025-07-07,122,59129.74,INV20404
PUR0004,P1304,2025-03-13,164,10538.64,INV31178
PUR0005,P1480,2025-02-14,186,46845.96,INV64835
PUR0006,P1480,2024-07-08,193,21596.7,INV47706
PUR0007,P2006,2024-10-01,135,12777.75,INV97336
PUR0008,P2006,2025-02-07,24,3693.36,INV40389
PUR0009,P2006,2025-03-19,142,61052.9,INV40782
PUR0010,P2006,2025-02-18,147,10951.5,INV52102
PUR0011,P2084,2025-04-11,52,12371.32,INV10841
PUR0012,P2084,2025-04-18,200,20958.0,INV45274
PUR0013,P2084,2024-12-12,117,19588.14,INV78661
PUR0014,P2084,2025-04-23,24,9645.84,INV70275
PUR0015,P2084,2025-01-24,167,15706.35,INV12294
PUR0016,P1171,2024-07-11,66,2341.02,INV83614
PUR0017,P1171,2025-04-23,139,13773.51,INV41492
PUR0018,P1171,2024-11-01,47,1581.08,INV54178
PUR0019,P1753,2024-08-24,149,16673.1,INV31908
PUR0020,P1753,2025-04-16,58,3121.56,INV93316
PUR0021,P1753,2024-08-13,124,12801.76,INV29863
PUR0022,P1753,2024-07-22,143,57746.26,INV45248
PUR0023,P1060,2025-05-07,75,22564.5,INV76054
PUR0024,P2430,2024-11-22,113,55472.83,INV40507
PUR0025,P2430,2024-12-07,169,80450.76,INV26856
PUR0026,P1667,2024-10-22,51,4817.46,INV16279
PUR0027,P1667,2025-01-16,48,3130.08,INV61561
PUR0028,P1667,2024-12-01,164,3175.04,INV35465
PUR0029,P1667,2025-03-13,145,39548.75,INV22025
PUR0030,P1667,2024-12-29,23,11253.9,INV60066
PUR0031,P2220,2025-05-14,44,9320.08,INV43761
PUR0032,P2220,2025-06-29,87,7447.2,INV53972
PUR0033,P2397,2024-08-02,65,26861.9,INV69507
