WeatherDate,City,Temperature_C,Humidity_percent,Precipitation_mm
2024-07-03,Mumbai,34.84,84.08,0.0
2024-07-04,Mumbai,32.64,63.47,0.0
2024-07-05,Mumbai,34.77,90.26,0.0
2024-07-06,Mumbai,24.9,94.63,0.0
2024-07-07,Mumbai,29.42,86.32,0.0
2024-07-08,Mumbai,31.82,67.87,0.0
2024-07-09,Mumbai,24.29,79.62,0.0
2024-07-10,Mumbai,25.95,78.06,0.0
2024-07-11,Mumbai,27.43,64.68,14.34
2024-07-12,Mumbai,21.88,91.29,4.36
2024-07-13,Mumbai,24.44,91.16,0.0
2024-07-14,Mumbai,26.19,90.85,0.0
2024-07-15,Mumbai,31.5,79.48,0.0
2024-07-16,Mumbai,31.01,93.88,0.0
2024-07-17,Mumbai,28.07,68.97,2.48
2024-07-18,Mumbai,25.48,63.14,0.0
2024-07-19,Mumbai,34.32,89.82,12.91
2024-07-20,Mumbai,31.42,78.73,0.0
2024-07-21,Mumbai,22.67,83.28,0.0
2024-07-22,Mumbai,34.24,84.54,0.0
2024-07-23,Mumbai,29.32,71.2,10.6
2024-07-24,Mumbai,20.87,80.41,0.0
2024-07-25,Mumbai,27.56,74.61,0.0
2024-07-26,Mumbai,26.37,87.88,0.0
2024-07-27,Mumbai,26.26,66.42,0.0
2024-07-28,Mumbai,30.67,70.79,0.0
2024-07-29,Mumbai,30.13,61.38,17.64
2024-07-30,Mumbai,26.24,87.34,10.51
2024-07-31,Mumbai,33.78,85.68,0.0
2024-08-01,Mumbai,23.77,80.57,0.0
2024-08-02,Mumbai,26.9,61.65,0.0
2024-08-03,Mumbai,26.14,64.05,0.0
2024-08-04,Mumbai,24.15,82.97,0.0
2024-08-05,Mumbai,24.25,72.43,0.0
2024-08-06,Mumbai,30.5,60.64,0.0
2024-08-07,Mumbai,28.46,71.76,0.0
2024-08-08,Mumbai,34.98,67.48,0.0
2024-08-09,Mumbai,20.27,92.58,0.0
2024-08-10,Mumbai,32.2,65.01,14.33
2024-08-11,Mumbai,28.96,75.68,0.0
2024-08-12,Mumbai,28.69,85.84,0.0
2024-08-13,Mumbai,26.38,63.78,0.0
2024-08-14,Mumbai,25.64,93.18,16.44
2024-08-15,Mumbai,21.28,84.05,0.0
2024-08-16,Mumbai,22.82,67.79,0.0
2024-08-17,Mumbai,22.28,94.17,0.0
2024-08-18,Mumbai,20.45,70.34,3.43
2024-08-19,Mumbai,30.09,62.62,0.0
2024-08-20,Mumbai,26.59,86.0,0.0
2024-08-21,Mumbai,34.72,75.69,19.4
2024-08-22,Mumbai,28.56,87.09,0.0
2024-08-23,Mumbai,34.63,61.84,0.0
2024-08-24,Mumbai,29.25,60.12,0.0
2024-08-25,Mumbai,23.34,81.4,0.0
2024-08-26,Mumbai,22.95,76.28,0.0
2024-08-27,Mumbai,23.64,88.23,0.0
2024-08-28,Mumbai,20.44,68.34,15.17
2024-08-29,Mumbai,30.38,77.13,0.85
2024-08-30,Mumbai,34.86,60.54,1.28
2024-08-31,Mumbai,33.03,62.69,0.0
2024-09-01,Mumbai,22.95,75.77,2.96
2024-09-02,Mumbai,22.72,60.39,0.0
2024-09-03,Mumbai,33.28,77.17,0.0
2024-09-04,Mumbai,32.21,67.38,1.48
2024-09-05,Mumbai,25.03,81.0,9.39
2024-09-06,Mumbai,30.98,69.07,0.0
2024-09-07,Mumbai,32.44,80.03,19.13
2024-09-08,Mumbai,26.52,70.34,0.0
2024-09-09,Mumbai,30.08,74.45,0.0
2024-09-10,Mumbai,28.11,84.06,0.0
2024-09-11,Mumbai,22.55,66.22,0.0
2024-09-12,Mumbai,21.98,91.32,0.0
2024-09-13,Mumbai,26.98,87.87,8.51
2024-09-14,Mumbai,34.78,81.81,9.19
2024-09-15,Mumbai,31.24,79.7,0.0
2024-09-16,Mumbai,33.52,65.05,16.61
2024-09-17,Mumbai,28.94,89.56,0.0
2024-09-18,Mumbai,30.51,88.32,3.75
2024-09-19,Mumbai,26.27,76.06,0.0
2024-09-20,Mumbai,22.56,61.85,4.58
2024-09-21,Mumbai,33.53,73.66,2.35
2024-09-22,Mumbai,28.68,63.22,0.0
2024-09-23,Mumbai,24.81,81.07,0.0
2024-09-24,Mumbai,20.18,73.92,0.0
2024-09-25,Mumbai,23.19,83.39,0.0
2024-09-26,Mumbai,24.33,61.0,9.73
2024-09-27,Mumbai,22.43,81.67,0.0
2024-09-28,Mumbai,20.45,61.75,8.55
2024-09-29,Mumbai,22.9,73.4,10.42
2024-09-30,Mumbai,25.12,74.34,0.0
