HolidayDate,HolidayName
2024-01-01,New Year's Day
2024-01-15,Makar Sankranti
2024-01-26,Republic Day
2024-03-25,Holi
2024-03-29,Good Friday
2024-04-11,Eid al-Fitr
2024-04-17,Ram Navami
2024-04-21,Mahavir Jayanti
2024-05-01,Labour Day
2024-05-23,Buddha Purnima
2024-06-17,Eid al-Adha
2024-07-17,Muharram
2024-08-15,Independence Day
2024-08-19,Raksha Bandhan
2024-08-26,Janmashtami
2024-09-07,Ganesh Chaturthi
2024-10-02,Gandhi Jayanti
2024-10-12,Dussehra
2024-11-01,Diwali
2024-11-15,Guru Nanak Jayanti
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-01-14,Makar Sankranti
2025-01-26,Republic Day
2025-03-14,Holi
2025-04-18,Good Friday
2025-03-31,Eid al-Fitr
2025-04-06,Ram Navami
2025-04-10,Mahavir Jayanti
2025-05-01,Labour Day
2025-05-12,Buddha Purnima
2025-06-06,Eid al-Adha
2025-07-06,Muharram
2025-08-15,Independence Day
2025-08-09,Raksha Bandhan
2025-08-16,Janmashtami
2025-08-27,Ganesh Chaturthi
2025-10-02,Gandhi Jayanti
2025-10-02,Dussehra
2025-10-20,Diwali
2025-11-03,Guru Nanak Jayanti
2025-12-25,Christmas Day 

