ProductID,ProductName,Category,Cost,Price,SupplierID,SupplierName,ReorderPoint,LeadTimeDays,ExpiryDate,UnitOfMeasure,quantity
P1304,Chicken Breast (500g),Meat & Seafood,458.4,989.6,S001,Indian Wholesale Co.,1,1,2025-05-09,kg,0
P1480,Bananas (1 Dozen),Fruits & Vegetables,67.79,98.9,S004,Quick Supply India,39,1,2025-09-01,g,144
P2006,Mango Juice (1L),Snacks & Beverages,33.7,42.9,S005,Apex Foods Pvt. Ltd.,50,4,2027-04-22,liters,713
P2084,Fish Fillet (250g),Meat & Seafood,688.72,1574.11,S007,HomeCare Solutions,6,1,2025-08-10,kg,19
P1171,Jeans (Size 32),Apparel,1649.41,2593.03,S002,Bharat Distributors,1,21,2024-10-19,sets,6
P1753,Bread (Whole Wheat 400g),Dairy & Bakery,134.46,242.59,S005,Apex Foods Pvt. Ltd.,19,1,2025-08-14,dozens,111
P1060,Garbage Bags (Medium Pack),Home & Kitchen,636.39,1217.34,S007,HomeCare Solutions,3,13,2024-10-28,packs,29
P2430,Potatoes (1kg),Fruits & Vegetables,97.81,196.13,S006,Health Essentials Ltd.,11,1,2025-09-04,bunches,47
P1667,Bread (Whole Wheat 400g),Dairy & Bakery,51.81,84.34,S001,Indian Wholesale Co.,45,1,2025-07-22,pcs,209
P2220,Apples (1kg),Fruits & Vegetables,48.98,62.43,S003,Priya Grocers,28,1,2025-09-15,kg,134
P2397,Cotton T-shirt (M),Apparel,900.21,1877.44,S005,Apex Foods Pvt. Ltd.,2,24,2025-11-17,sets,42
P2105,Spinach (Bunch),Fruits & Vegetables,94.36,114.4,S008,TechGadgets India,33,1,2025-08-02,g,150
P2410,Cotton T-shirt (M),Apparel,720.6,1698.04,S008,TechGadgets India,4,24,2025-08-28,pcs,62
P1241,Ghee (500ml),Grocery & Staples,60.6,137.26,S005,Apex Foods Pvt. Ltd.,1,5,2025-02-03,packets,7
P1043,Pressure Cooker (3L),Utensils & Cookware,583.4,852.82,S005,Apex Foods Pvt. Ltd.,1,5,2024-07-19,pcs,11
P2346,LED Bulb (9W),Electronics,25795.39,45041.12,S006,Health Essentials Ltd.,1,14,2027-03-17,units,24
P2160,Casual Shirt (L),Apparel,766.1,1653.48,S001,Indian Wholesale Co.,1,24,2026-09-20,sets,21
P1031,Pressure Cooker (3L),Utensils & Cookware,244.01,598.95,S007,HomeCare Solutions,1,7,2025-03-26,pcs,23
P1182,Spinach (Bunch),Fruits & Vegetables,78.68,169.27,S003,Priya Grocers,10,1,2025-06-28,kg,38
P2354,Shampoo (Anti-dandruff 200ml),Personal Care,322.31,731.87,S008,TechGadgets India,15,8,2027-03-30,ml,162
P1117,Sneakers (Size 9),Footwear,950.83,1379.6,S006,Health Essentials Ltd.,2,21,2025-06-24,pcs,37
P2299,Sneakers (Size 9),Footwear,412.23,887.89,S003,Priya Grocers,7,18,2026-12-28,pairs,90
P2375,Ghee (500ml),Grocery & Staples,167.12,313.93,S003,Priya Grocers,46,6,2027-02-20,packets,905
P2488,Mutton Curry Cut (500g),Meat & Seafood,506.31,943.32,S008,TechGadgets India,2,1,2025-09-06,pcs,11
P1610,Pressure Cooker (3L),Utensils & Cookware,850.72,1197.64,S001,Indian Wholesale Co.,2,5,2027-05-31,sets,56
P1168,Jeans (Size 32),Apparel,1387.87,2596.0,S008,TechGadgets India,1,22,2024-08-24,sets,21
P2210,Multivitamin Tablets (Bottle 60pcs),Health & Wellness,699.21,1074.4,S001,Indian Wholesale Co.,33,9,2025-11-21,bottles,239
P1243,Basic Headphones,Electronics,10347.75,20116.9,S006,Health Essentials Ltd.,1,7,2025-01-20,units,43
P1734,Potato Chips (Masala 75g),Snacks & Beverages,21.75,28.12,S003,Priya Grocers,33,1,2025-09-26,ml,431
P2185,Dinner Set (4 Pcs),Utensils & Cookware,420.83,632.11,S007,HomeCare Solutions,2,7,2026-05-23,pcs,43
P2104,Laundry Detergent (1kg),Home & Kitchen,312.78,677.56,S002,Bharat Distributors,10,10,2026-02-20,rolls,75
P1266,Fish Fillet (250g),Meat & Seafood,553.49,712.55,S006,Health Essentials Ltd.,14,1,2025-06-03,pcs,45
P1859,Casual Shirt (L),Apparel,1937.54,4226.0,S002,Bharat Distributors,4,11,2025-12-19,sets,48
P1967,Energy Bar (Nut 50g),Snacks & Beverages,81.7,140.83,S004,Quick Supply India,91,3,2026-12-23,ml,1155
P1845,Apples (1kg),Fruits & Vegetables,89.43,190.26,S005,Apex Foods Pvt. Ltd.,40,1,2025-08-30,kg,152
P1740,Soap (Sandalwood 125g),Personal Care,239.04,476.78,S005,Apex Foods Pvt. Ltd.,45,5,2026-10-16,bottles,385
P2301,USB Cable (2m),Electronics,14189.25,29673.28,S002,Bharat Distributors,1,17,2026-05-04,pcs,45
P2264,Dinner Set (4 Pcs),Utensils & Cookware,761.73,1588.6,S004,Quick Supply India,1,5,2025-08-07,pcs,9
P1867,Bananas (1 Dozen),Fruits & Vegetables,27.02,34.19,S001,Indian Wholesale Co.,35,1,2025-09-05,kg,149
P1773,Energy Bar (Nut 50g),Snacks & Beverages,48.02,71.04,S001,Indian Wholesale Co.,31,3,2025-11-09,pcs,337
P2401,Potato Chips (Masala 75g),Snacks & Beverages,63.77,104.47,S008,TechGadgets India,86,2,2026-12-22,packets,1033
P2072,Mutton Curry Cut (500g),Meat & Seafood,753.35,1647.3,S001,Indian Wholesale Co.,17,1,2025-09-19,kg,71
P2260,Bread (Whole Wheat 400g),Dairy & Bakery,155.01,219.23,S003,Priya Grocers,45,2,2025-08-25,packs,224
P1005,Paneer (200g),Dairy & Bakery,32.66,74.33,S005,Apex Foods Pvt. Ltd.,1,2,2025-05-28,g,0
P1422,Sandals (Size 8),Footwear,1352.04,2259.27,S001,Indian Wholesale Co.,1,16,2026-07-09,pairs,10
P2359,Dinner Set (4 Pcs),Utensils & Cookware,578.87,1067.87,S004,Quick Supply India,3,11,2027-06-06,pcs,63
P2315,Sneakers (Size 9),Footwear,1253.84,1552.78,S001,Indian Wholesale Co.,5,13,2027-01-05,pcs,65
P1094,Coffee (100g),Grocery & Staples,237.85,334.83,S005,Apex Foods Pvt. Ltd.,2,4,2024-12-09,kg,35
P2399,Socks (Pack of 3),Apparel,1778.18,3265.31,S004,Quick Supply India,1,22,2027-05-07,pcs,17
P2250,Mango Juice (1L),Snacks & Beverages,57.42,86.71,S007,HomeCare Solutions,76,1,2027-02-15,packets,1131
P1754,Sunscreen (SPF30 100ml),Personal Care,369.97,921.05,S003,Priya Grocers,27,8,2027-05-26,bottles,327
P1298,Lemons (250g),Fruits & Vegetables,60.97,132.33,S003,Priya Grocers,8,1,2025-05-09,dozens,37
P1252,Spices Combo (100g),Grocery & Staples,107.84,233.68,S001,Indian Wholesale Co.,1,2,2025-04-24,pcs,0
P1973,Floor Cleaner (1L),Home & Kitchen,735.82,1565.58,S003,Priya Grocers,21,11,2026-05-05,rolls,159
P2169,Sugar (1kg),Grocery & Staples,170.9,411.35,S006,Health Essentials Ltd.,39,2,2027-04-30,packets,668
P2007,Laundry Detergent (1kg),Home & Kitchen,352.18,767.78,S003,Priya Grocers,15,8,2027-04-18,kg,98
P1631,Apples (1kg),Fruits & Vegetables,41.54,55.85,S005,Apex Foods Pvt. Ltd.,41,1,2025-09-24,kg,172
P1233,Matchbox (Pack of 10),Home & Kitchen,709.23,1668.04,S004,Quick Supply India,1,12,2024-12-18,bottles,4
P2144,Shampoo (Anti-dandruff 200ml),Personal Care,355.29,795.05,S008,TechGadgets India,10,6,2027-05-14,bottles,126
P1502,Socks (Pack of 3),Apparel,1044.97,2170.46,S002,Bharat Distributors,10,16,2027-05-12,sets,128
P1420,Potato Chips (Masala 75g),Snacks & Beverages,51.1,95.08,S008,TechGadgets India,22,1,2026-01-07,bottles,232
P2227,Extension Cord (5m),Electronics,36618.0,66244.33,S007,HomeCare Solutions,1,17,2025-12-09,units,33
P1644,Bananas (1 Dozen),Fruits & Vegetables,57.36,139.29,S004,Quick Supply India,34,1,2025-08-20,dozens,121
P2307,Lemons (250g),Fruits & Vegetables,46.63,57.43,S006,Health Essentials Ltd.,14,1,2025-09-15,bunches,50
P1948,Yogurt (Fruit 150g),Dairy & Bakery,194.75,303.43,S005,Apex Foods Pvt. Ltd.,11,2,2025-08-07,pcs,64
P1474,Bread (Whole Wheat 400g),Dairy & Bakery,60.43,115.0,S005,Apex Foods Pvt. Ltd.,62,1,2025-07-22,packs,271
P2243,Sandals (Size 8),Footwear,1059.52,2295.97,S001,Indian Wholesale Co.,1,10,2027-05-13,pairs,14
P1155,Paneer (200g),Dairy & Bakery,36.13,76.94,S008,TechGadgets India,1,1,2025-06-26,dozens,2
P1623,Shampoo (Anti-dandruff 200ml),Personal Care,289.3,500.08,S002,Bharat Distributors,44,9,2026-05-22,g,474
P1554,Sneakers (Size 9),Footwear,465.46,772.78,S008,TechGadgets India,6,10,2026-06-14,pairs,97
P2108,Formal Shoes (Size 10),Footwear,204.33,495.2,S006,Health Essentials Ltd.,4,11,2027-01-31,pcs,75
P1018,Cotton T-shirt (M),Apparel,1704.09,2351.12,S006,Health Essentials Ltd.,2,15,2024-09-30,pcs,28
P1121,Protein Powder (Whey 500g),Health & Wellness,290.31,488.0,S007,HomeCare Solutions,3,10,2025-02-22,pcs,28
P2381,Dishwashing Liquid (500ml),Home & Kitchen,368.75,451.56,S008,TechGadgets India,30,10,2026-10-29,kg,207
P2434,Jeans (Size 32),Apparel,1823.01,3202.78,S003,Priya Grocers,2,15,2026-06-06,pcs,30
P2171,Sneakers (Size 9),Footwear,297.61,693.48,S008,TechGadgets India,5,19,2025-11-19,pcs,66
P1407,Paneer (200g),Dairy & Bakery,113.51,269.47,S008,TechGadgets India,12,2,2025-08-19,g,75
P1831,Extension Cord (5m),Electronics,49486.5,96700.54,S006,Health Essentials Ltd.,1,17,2025-10-05,units,21
P2402,Sanitary Pads (Pack of 10),Personal Care,232.79,301.96,S007,HomeCare Solutions,26,8,2027-06-02,pcs,245
P1933,Jeans (Size 32),Apparel,1647.82,3024.16,S002,Bharat Distributors,2,16,2026-02-21,pcs,38
P1964,Sandals (Size 8),Footwear,687.37,1066.09,S006,Health Essentials Ltd.,4,13,2027-03-26,pcs,78
P2205,Multivitamin Tablets (Bottle 60pcs),Health & Wellness,414.46,688.99,S002,Bharat Distributors,8,10,2026-04-03,bottles,68
P1686,Shampoo (Anti-dandruff 200ml),Personal Care,117.32,195.95,S002,Bharat Distributors,6,5,2026-02-19,ml,66
P1709,USB Cable (2m),Electronics,44266.21,104340.24,S002,Bharat Distributors,1,12,2026-05-11,units,6
P2156,Mineral Water (1L),Snacks & Beverages,23.98,30.82,S004,Quick Supply India,57,2,2027-02-03,liters,816
P2068,Soap (Sandalwood 125g),Personal Care,198.11,485.43,S001,Indian Wholesale Co.,23,4,2026-09-13,pcs,287
P1068,Kitchen Towels (Roll),Home & Kitchen,143.06,272.51,S004,Quick Supply India,4,5,2024-12-08,bottles,37
P1029,Multivitamin Tablets (Bottle 60pcs),Health & Wellness,660.97,1639.84,S003,Priya Grocers,2,7,2025-03-25,bottles,20
P2415,Dishwashing Liquid (500ml),Home & Kitchen,589.72,1212.32,S002,Bharat Distributors,27,10,2026-09-18,kg,187
P1601,Tea Powder (250g),Grocery & Staples,130.56,260.73,S002,Bharat Distributors,8,6,2026-11-17,packets,190
P2224,Sandals (Size 8),Footwear,723.27,1291.88,S003,Priya Grocers,2,18,2026-11-08,pairs,36
P1591,Protein Powder (Whey 500g),Health & Wellness,116.55,180.5,S006,Health Essentials Ltd.,15,6,2026-02-14,g,153
P1138,Butter (100g),Dairy & Bakery,186.37,426.2,S008,TechGadgets India,8,1,2025-06-23,dozens,39
P1035,Chicken Breast (500g),Meat & Seafood,254.78,629.64,S001,Indian Wholesale Co.,8,1,2025-05-12,kg,23
P2327,Tomatoes (500g),Fruits & Vegetables,90.14,210.16,S006,Health Essentials Ltd.,9,1,2025-08-22,dozens,40
P1893,Sandals (Size 8),Footwear,279.61,537.72,S008,TechGadgets India,5,11,2026-08-15,pcs,87
P1561,Ghee (500ml),Grocery & Staples,201.73,315.07,S005,Apex Foods Pvt. Ltd.,17,2,2026-01-08,kg,373
P2496,Coriander (Bunch),Fruits & Vegetables,35.46,56.72,S001,Indian Wholesale Co.,15,1,2025-08-19,kg,65
P1008,Bread (Whole Wheat 400g),Dairy & Bakery,73.81,92.47,S001,Indian Wholesale Co.,5,1,2025-06-21,packs,26
P1463,Toilet Cleaner (500ml),Home & Kitchen,725.25,1016.21,S008,TechGadgets India,19,12,2027-01-21,rolls,135
P1920,Protein Powder (Whey 500g),Health & Wellness,486.16,1021.93,S001,Indian Wholesale Co.,19,4,2026-05-15,pcs,173
P2353,Toothpaste (Herbal 150g),Personal Care,219.45,392.97,S007,HomeCare Solutions,30,9,2025-11-06,packs,328
P2164,Floor Cleaner (1L),Home & Kitchen,106.64,199.64,S008,TechGadgets India,13,14,2026-05-11,rolls,102
P1814,Jeans (Size 32),Apparel,632.23,1472.21,S004,Quick Supply India,1,16,2027-04-29,pcs,18
P1963,Chicken Breast (500g),Meat & Seafood,248.59,421.32,S001,Indian Wholesale Co.,4,1,2025-09-13,pcs,16
P1730,Yogurt (Fruit 150g),Dairy & Bakery,36.81,82.34,S001,Indian Wholesale Co.,49,2,2025-08-14,dozens,291
P1635,Cotton T-shirt (M),Apparel,1834.21,3486.88,S002,Bharat Distributors,4,10,2025-08-09,sets,61
P2335,Toilet Cleaner (500ml),Home & Kitchen,148.42,203.22,S001,Indian Wholesale Co.,17,11,2026-11-08,bottles,123
P2273,Kitchen Towels (Roll),Home & Kitchen,113.96,179.79,S002,Bharat Distributors,10,9,2025-12-06,packs,86
P1015,Extension Cord (5m),Electronics,34578.03,78818.75,S006,Health Essentials Ltd.,1,19,2024-11-18,units,9
P2373,Water Bottle (Steel),Utensils & Cookware,353.44,839.11,S002,Bharat Distributors,3,6,2026-08-17,sets,58
P1443,Eggs (6 Pcs),Dairy & Bakery,33.77,62.11,S008,TechGadgets India,14,2,2025-08-12,liters,63
P2014,Jeans (Size 32),Apparel,1485.63,1928.36,S008,TechGadgets India,1,15,2025-10-29,sets,23
P2492,Kitchen Towels (Roll),Home & Kitchen,441.54,758.62,S005,Apex Foods Pvt. Ltd.,31,13,2026-07-19,rolls,218
P2214,Toothpaste (Herbal 150g),Personal Care,237.12,487.89,S004,Quick Supply India,40,9,2025-12-10,g,447
P1262,Namkeen (Aloo Bhujia 150g),Snacks & Beverages,69.79,168.7,S002,Bharat Distributors,1,1,2025-01-30,packets,11
P2371,Curd (500g),Dairy & Bakery,67.5,167.16,S006,Health Essentials Ltd.,57,2,2025-08-25,pcs,281
P1585,Bananas (1 Dozen),Fruits & Vegetables,22.97,31.93,S002,Bharat Distributors,31,1,2025-09-22,dozens,150
P2046,Cola (2L),Snacks & Beverages,143.86,330.83,S003,Priya Grocers,60,2,2025-11-30,liters,740
P1156,Salt (1kg),Grocery & Staples,58.38,99.24,S007,HomeCare Solutions,1,4,2024-10-29,kg,29
P1329,Biscuits (Atta 100g),Snacks & Beverages,119.46,219.52,S001,Indian Wholesale Co.,5,2,2025-06-11,pcs,74
P1633,LED Bulb (9W),Electronics,3417.63,6735.85,S008,TechGadgets India,1,17,2026-03-10,units,31
P1478,Face Cream (Aloe Vera 50g),Personal Care,332.98,406.97,S003,Priya Grocers,18,6,2027-05-09,pcs,155
P2470,Pressure Cooker (3L),Utensils & Cookware,786.07,1374.44,S007,HomeCare Solutions,1,12,2025-07-30,sets,25
P1536,USB Cable (2m),Electronics,47700.89,97110.34,S007,HomeCare Solutions,1,12,2026-11-13,pcs,7
P2178,Paneer (200g),Dairy & Bakery,118.29,235.4,S001,Indian Wholesale Co.,15,2,2025-08-05,pcs,69
P1356,Agarbatti (Pack of 100),Home & Kitchen,284.23,536.7,S005,Apex Foods Pvt. Ltd.,36,5,2026-07-20,rolls,254
P2292,Chai Mix (150g),Snacks & Beverages,37.06,73.21,S007,HomeCare Solutions,107,1,2025-07-31,pcs,1177
P1391,Sandals (Size 8),Footwear,1097.96,1746.83,S002,Bharat Distributors,5,20,2026-10-12,pcs,66
P2031,Potatoes (1kg),Fruits & Vegetables,85.69,191.17,S007,HomeCare Solutions,20,1,2025-09-13,bunches,72
P1572,Immunity Booster (Syrup 200ml),Health & Wellness,404.47,814.22,S003,Priya Grocers,18,11,2025-09-22,packs,181
P2466,Sugar (1kg),Grocery & Staples,289.48,672.22,S002,Bharat Distributors,31,2,2027-04-12,kg,693
P1589,Dishwashing Liquid (500ml),Home & Kitchen,219.85,372.52,S003,Priya Grocers,5,10,2026-03-23,kg,34
P1666,Chicken Breast (500g),Meat & Seafood,379.12,519.68,S001,Indian Wholesale Co.,24,1,2025-09-08,g,98
P1275,Agarbatti (Pack of 100),Home & Kitchen,588.49,857.47,S008,TechGadgets India,3,9,2025-03-21,kg,25
P2419,Socks (Pack of 3),Apparel,1103.47,2665.78,S005,Apex Foods Pvt. Ltd.,9,21,2027-04-18,pcs,136
P2411,Casual Shirt (L),Apparel,537.01,681.86,S008,TechGadgets India,8,21,2025-10-15,pcs,121
